{CNS={}, ANS={}, InMemoryDS=[{SourceIP = (127.0.0.1:3000, MemImmut), AdRevenue = (100, MemImmut)}], Collection}
{CNS={}, ANS={}, InMemoryDS=[{SourceIP = (127.0.0.1:3000, MemImmut), AdRevenue = (100, MemImmut)}], Collection}
{CNS={}, ANS={}, InMemoryDS=[{SourceIP = (127.0.0.1:3001, MemImmut), AdRevenue = (100, MemImmut)}], Collection}
{CNS={}, ANS={}, InMemoryDS=[{SourceIP = (127.0.0.1:3002, MemImmut), AdRevenue = (100, MemImmut)}], Collection}
{CNS={}, ANS={}, InMemoryDS=[{SourceIP = (127.0.0.1:3001, MemImmut), AdRevenue = (100, MemImmut)}], Collection}
{CNS={}, ANS={}, InMemoryDS=[{SourceIP = (127.0.0.1:3002, MemImmut), AdRevenue = (100, MemImmut)}], Collection}
{CNS={}, ANS={}, InMemoryDS=[{SourceIP = (127.0.0.1:3003, MemImmut), AdRevenue = (100, MemImmut)}], Collection}
{CNS={}, ANS={}, InMemoryDS=[{SourceIP = (127.0.0.1:3003, MemImmut), AdRevenue = (100, MemImmut)}], Collection}
{CNS={}, ANS={}, InMemoryDS=[{SourceIP = (127.0.0.1:3000, MemImmut), AdRevenue = (100, MemImmut)}], Collection}
{CNS={}, ANS={}, InMemoryDS=[{SourceIP = (127.0.0.1:3004, MemImmut), AdRevenue = (100, MemImmut)}], Collection}
{CNS={}, ANS={}, InMemoryDS=[{SourceIP = (127.0.0.1:3005, MemImmut), AdRevenue = (100, MemImmut)}], Collection}
{CNS={}, ANS={}, InMemoryDS=[{SourceIP = (127.0.0.1:3008, MemImmut), AdRevenue = (100, MemImmut)}], Collection}
