/home/vagrant/K3/K3-Core/examples/distributed/networkRing.k3
Hostname,peer,successor
qp1-k3VM,192.168.0.174:40000,"192.168.0.191:40000"
qp2-k3VM,192.168.0.191:40000,"192.168.0.141:40000"
qp3-k3VM,192.168.0.141:40000,"192.168.0.136:40000"
qp4-k3VM,192.168.0.136:40000,"192.168.0.138:40000"
qp5-k3VM,192.168.0.138:40000,"192.168.0.139:40000"
qp6-k3VM,192.168.0.139:40000,"192.168.0.131:40000"
qp-hm1-k3VM,192.168.0.131:40000,"192.168.0.126:40000"
qp-hm2-k3VM,192.168.0.126:40000,"192.168.0.102:40000"
qp-hm3-k3VM,192.168.0.102:40000,"192.168.0.101:40000"
qp-hm4-k3VM,192.168.0.101:40000,"192.168.0.106:40000"
qp-hm5-k3VM,192.168.0.106:40000,"192.168.0.109:40000"
qp-hm6-k3VM,192.168.0.109:40000,"192.168.0.124:40000"
qp-hm7-k3VM,192.168.0.124:40000,"192.168.0.108:40000"
qp-hm8-k3VM,192.168.0.108:40000,"192.168.0.174:40000"
